,Track,Artist,Genre,Album Title,Album Type,Release Date,Thumbnail,Acousticness,Danceability,Energy,Instrumentalness,Popularity,Speechiness,Track ID,Release Year
1567,I Got You Babe,Sonny & Cher,"adult standards, bubblegum pop, folk, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter, soft rock",The Beat Goes On: Best Of,compilation,1991-11-05,https://i.scdn.co/image/ab67616d00004851c501ebfdac2ec813793c56f8,0.246,0.621,0.708,2e-06,0.6161616161616161,0.0259,2SWBfqj1FrS8t8z56G55rP,1991
1569,Never My Love - Remastered Version,The Association,"bubblegum pop, classic garage rock, country rock, folk rock, mellow gold, singer-songwriter, soft rock, sunshine pop",Insight Out,album,1967-01-01,https://i.scdn.co/image/ab67616d00004851ca641c0426924cbf33160c3c,0.171,0.435,0.428,0.000708,0.5858585858585859,0.0268,32ssNweOtmacNBEC2kHzA8,1967
1570,Mr. Lonely,Bobby Vinton,"adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly",The Best Of Bobby Vinton,compilation,1962-01-01,https://i.scdn.co/image/ab67616d000048515980cda6de8365d077f34a5e,0.817,0.245,0.293,0.0,0.5757575757575758,0.0303,5KG2ahk1cONbHvg3dBdTbx,1962
1572,You'll Lose A Good Thing,Barbara Lynn,"classic soul, motown, rhythm and blues, southern soul",You'll Lose A Good Thing,album,1963-01-01,https://i.scdn.co/image/ab67616d000048516da7fd15c8c2d010786a56f6,0.606,0.591,0.324,0.000144,0.5656565656565656,0.0302,5CEREcGR5WaLt40YzTQ62e,1963
1573,Your Precious Love,Marvin Gaye,"classic soul, motown, neo soul, northern soul, quiet storm, soul",United,album,1967-08-29,https://i.scdn.co/image/ab67616d000048519173e50e99bdea2400222f02,0.245,0.429,0.265,0.0,0.5656565656565656,0.0359,3uMJcNcxcp801NLwgYrj9k,1967
1574,Anyone Who Knows What Love Is (Will Understand),Irma Thomas,"classic soul, louisiana blues, new orleans blues, new orleans soul, southern soul",Take A Look,album,1966-01-01,https://i.scdn.co/image/ab67616d00004851251c20176b5695f6a2326d81,0.838,0.595,0.279,0.00605,0.5555555555555556,0.0306,5GWCndQ8ykzf6rYRvwrFcj,1966
1576,"Baby, I'm For Real",The Originals,"classic soul, motown, northern soul, southern soul","Baby, I'm For Real",album,1969-01-01,https://i.scdn.co/image/ab67616d00004851d12c40e9c2140939ac4ba130,0.634,0.341,0.263,0.0,0.5454545454545454,0.0288,7vI2UMCyF56ZNDbVZmKiJ2,1969
1577,Yes. I'm Ready,Barbara Mason,"classic soul, philly soul, southern soul",Yes I'm Ready,album,1965-01-01,https://i.scdn.co/image/ab67616d00004851351274f527065d0d5e78d9c5,0.902,0.237,0.377,0.0,0.5454545454545454,0.0287,2gZpW5pTZkimGG98loFSl2,1965
1578,Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,british folk,The Lost Album,album,2008-02-01,https://i.scdn.co/image/ab67616d00004851cb24ea50ff09e4e9925d6973,0.286,0.558,0.444,6.56e-05,0.5353535353535354,0.0345,6M665tf7ZKQzUFA5yOrUE4,2008
1579,Love Hurts - 2007 Remaster,The Everly Brothers,"adult standards, folk rock, mellow gold, rock-and-roll, rockabilly, sunshine pop",A Date with The Everly Brothers,album,1960-10-01,https://i.scdn.co/image/ab67616d00004851756ea9d6cee4360a152f5611,0.846,0.65,0.246,5.07e-06,0.5050505050505051,0.0263,6hgY1l6EqrfrHRNrxwKRiK,1960
